UserId,Passed,Education,Name,Sex,Age,Sibling,Parent,IdCard,Placetest,Passport,English
98,1,1,"Greenfield, Mr. William Bertram",male,23,2,1,76439,87,D10 D12,B
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,231919,45,,I
100,0,2,"Kantor, Mr. Sinai",male,34,1,0,244367,69,,I
101,1,3,"Petranec, Miss. Matilda",female,28,0,0,349245,98,,I
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,20,4,0,349215,78,,B
103,0,1,"White, Mr. Richard Frasar",male,21,0,1,35281,80,D26,I
104,0,3,"Johansson, Mr. Gustaf Joel",male,33,0,0,7540,90,,A
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,56,,B
106,0,3,"Mionoff, Mr. Stoytcho",male,28,0,0,349207,70,,I
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,98,,B
108,1,3,"Moss, Mr. Albert Johan",male,20,0,0,312991,97,,A
109,0,3,"Rekic, Mr. Tido",male,38,0,0,349249,67,,A
110,1,3,"Moran, Miss. Bertha",female,20,1,0,371110,56,,B
111,0,1,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,78,C110,B
112,0,3,"Zabour, Miss. Hileni",female,24,1,0,2665,90,,I
113,0,3,"Barton, Mr. David John",male,22,0,0,324669,45,,I
114,0,3,"Jussila, Miss. Katriina",female,20,1,0,4136,67,,A
115,0,3,"Attalah, Miss. Malake",female,17,0,0,2627,89,,A
116,0,3,"Pekoniemi, Mr. Edvard",male,21,0,1,7444788,34,,B
117,0,3,"Connors, Mr. Patrick",male,20,0,0,370369,56,,B
118,0,2,"Turpin, Mr. William John Robert",male,29,1,0,11668,78,,B
119,0,1,"Baxter, Mr. Quigg Edmond",male,24,0,1,876433,90,B58 B60,B
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,22,4,2,347082,45,,B
121,0,2,"Hickman, Mr. Stanley George",male,21,2,0,886544,34,,I
122,0,3,"Moore, Mr. Leonard Charles",male,20,0,0,99764,78,,A
123,0,2,"Nasser, Mr. Nicholas",male,32,1,0,237736,90,,B
124,1,2,"Webber, Miss. Susan",female,32,0,0,27267,45,E101,I
125,0,1,"White, Mr. Percival Wayland",male,54,0,1,35281,45,D26,A
126,1,3,"Nicola-Yarred, Master. Elias",male,22,1,0,2651,67,,A
127,0,3,"McMahon, Mr. Martin",male,20,0,0,370372,89,,B
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24,0,0,774378,56,,I
129,1,3,"Peter, Miss. Anna",female,20,1,1,2668,78,F E69,A
130,0,3,"Ekstrom, Mr. Johan",male,45,0,0,347061,90,,A
131,0,3,"Drazenoic, Mr. Jozef",male,33,0,0,349241,34,,A
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,77644,56,,B
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,88643,78,,B
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,228414,89,,I
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25,0,0,876447,56,,I
136,0,2,"Richard, Mr. Emile",male,23,0,0,8754478,67,,I
137,1,1,"Newsom, Miss. Helen Monypeny",female,19,0,2,887754,89,D47,I
138,0,1,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,34,C123,A
139,0,3,"Osen, Mr. Olaf Elon",male,16,0,0,7534,56,,B
140,0,1,"Giglio, Mr. Victor",male,24,0,0,87654,89,B86,I
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,20,0,2,2678,90,,B
142,1,3,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,87,,A
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,775447,65,,A
144,0,3,"Burke, Mr. Jeremiah",male,19,0,0,365222,67,,B
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18,0,0,231945,45,,I
146,0,2,"Nicholls, Mr. Joseph Charles",male,19,1,1,77537,78,,B
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,350043,98,,I
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,886533,78,,A
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,20,0,2,230080,67,F2,B
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,56,,I
151,0,2,"Bateman, Rev. Robert James",male,51,2,0,66432,45,,A
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,65,C2,B
153,0,3,"Meo, Mr. Alfonzo",male,25,0,0,11456,75,,I
154,0,3,"van Billiard, Mr. Austin Blyler",male,40,2,2,77522,89,,A
155,0,3,"Olsen, Mr. Ole Martin",male,20,0,0,886864,97,,A
156,0,1,"Williams, Mr. Charles Duane",male,51,0,1,885339,86,,B
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,3,0,35851,75,,I
158,0,3,"Corn, Mr. Harry",male,30,0,0,77439,67,,A
159,0,3,"Smiljanic, Mr. Mile",male,20,0,0,315037,89,,A
160,0,3,"Sage, Master. Thomas Henry",male,20,4,2,76433,56,,A
161,0,3,"Cribb, Mr. John Hatfield",male,44,4,1,371362,45,,B
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,77633,67,,B
163,0,3,"Bengtsson, Mr. John Viktor",male,26,4,0,347068,89,,I
164,0,3,"Calic, Mr. Jovo",male,17,0,0,315093,56,,A
165,0,3,"Panula, Master. Eino Viljami",male,21,4,1,3101295,45,,A
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,29,0,2,363291,67,,A
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,20,0,1,113505,89,E33,B
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,2,347088,87,,B
169,0,1,"Baumann, Mr. John D",male,20,0,0,886434,56,,I
170,0,3,"Ling, Mr. Lee",male,28,2,0,1601,78,,I
171,0,1,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,67,B19,I
172,0,3,"Rice, Master. Arthur",male,24,4,1,382652,87,,I
173,1,3,"Johnson, Miss. Eleanor Ileen",female,21,1,1,347742,45,,A
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21,0,0,8864337,67,,B
175,0,1,"Smith, Mr. James Clinch",male,56,0,0,17764,89,A7,I
176,0,3,"Klasen, Mr. Klas Albin",male,18,1,1,350404,76,,A
177,0,3,"Lefebre, Master. Henry Forbes",male,20,3,1,4133,56,,B
178,0,1,"Isham, Miss. Ann Elizabeth",female,50,0,0,88765,45,C49,B
179,0,2,"Hale, Mr. Reginald",male,30,5,0,250653,67,,I
180,0,3,"Leonard, Mr. Lionel",male,36,0,0,77643,98,,I
181,1,3,"Sage, Miss. Constance Gladys",female,20,2,2,99877644,90,,I
182,0,2,"Pernot, Mr. Rene",male,18,0,0,8887654,98,,B
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,76,,I
184,1,2,"Becker, Master. Richard F",male,18,2,1,230136,78,F4,A
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,24,0,2,315153,67,,B
186,0,1,"Rood, Mr. Hugh Roscoe",male,22,5,0,113767,89,A32,I
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,24,1,0,370365,56,,B
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0,111428,78,,I
189,0,3,"Bourke, Mr. John",male,40,1,1,364849,90,,A
190,0,3,"Turcin, Mr. Stjepan",male,36,0,0,349247,89,,A
191,1,2,"Pinsky, Mrs. (Rosa)",female,32,4,0,234604,78,,B
192,0,2,"Carbines, Mr. William",male,19,0,0,28424,67,,B
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,350046,56,,I
194,1,2,"Navratil, Master. Michel M",male,23,1,1,230080,45,F2,B
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,87654,67,B4,I
196,1,1,"Lurette, Miss. Elise",female,58,6,0,8876511,89,B80,A
197,0,3,"Mernagh, Mr. Robert",male,20,0,0,368703,76,,B
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,4579,56,,I
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,21,4,0,370370,78,,A
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0,248747,90,,B
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,345770,87,,I
202,0,3,"Sage, Mr. Frederick",male,20,8,2,65433,89,,A
203,0,3,"Johanson, Mr. Jakob Alfred",male,34,0,0,3101264,87,,A
204,0,3,"Youseff, Mr. Gerious",male,40,0,0,2628,65,,B
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18,3,0,99655,67,,I
206,0,3,"Strom, Miss. Telma Matilda",female,22,0,1,347054,89,G6,A
207,0,3,"Backstrom, Mr. Karl Alfred",male,32,1,0,3101278,87,,I
208,1,3,"Albimona, Mr. Nassef Cassem",male,26,0,0,2699,89,,A
209,1,3,"Carr, Miss. Helen ""Ellen""",female,16,0,0,367231,56,,A
210,1,1,"Blank, Mr. Henry",male,40,0,0,112277,67,A31,A
211,0,3,"Ali, Mr. Ahmed",male,24,0,0,3333367,66,,B
212,1,2,"Cameron, Miss. Clear Annie",female,35,5,0,345767,78,,B
213,0,3,"Perkin, Mr. John Henry",male,22,0,0,2,67,,I
214,0,2,"Givard, Mr. Hans Kristensen",male,30,0,0,250646,55,,A
215,0,3,"Kiernan, Mr. Philip",male,20,1,0,367229,78,,A
216,1,1,"Newell, Miss. Madeleine",female,31,1,0,35273,67,D36,A
217,1,3,"Honkanen, Miss. Eliina",female,27,0,0,STON/O2. 3101283,89,,B
218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42,1,0,243847,76,,B
219,1,1,"Bazzani, Miss. Albina",female,32,0,0,11813,45,D15,I
220,0,2,"Harris, Mr. Walter",male,30,0,0,W/C 14208,78,,I
221,1,3,"Sunderland, Mr. Victor Francis",male,16,0,0,SOTON/OQ 392089,67,,I
222,0,2,"Bracken, Mr. James H",male,27,0,0,220367,56,,I
223,0,3,"Green, Mr. George Henry",male,51,0,0,21440,99,,A
224,0,3,"Nenkoff, Mr. Christo",male,20,0,0,349234,77,,B
225,1,1,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,19943,55,C93,I
226,0,3,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,PP 4348,67,,A
227,1,2,"Mellors, Mr. William John",male,19,0,0,SW/PP 751,88,,A
228,0,3,"Lovell, Mr. John Hall (""Henry"")",male,20,0,0,A/5 21173,65,,B
229,0,2,"Fahlstrom, Mr. Arne Jonas",male,18,0,0,236171,55,,I
230,0,3,"Lefebre, Miss. Mathilde",female,20,3,1,4133,67,,A
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,89,C83,A
232,0,3,"Larsson, Mr. Bengt Edvin",male,29,0,2,347067,67,,A
233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,237442,56,,B
234,1,3,"Asplund, Miss. Lillian Gertrud",female,25,4,2,347077,45,,B
235,0,2,"Leyson, Mr. Robert William Norman",male,24,0,0,34378,67,,I
236,0,3,"Harknett, Miss. Alice Phoebe",female,20,0,0,5588,88,,I
237,0,2,"Hold, Mr. Stephen",male,44,1,2,26707,88,,I
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",female,29,0,2,555553,66,,I
239,0,2,"Pengelly, Mr. Frederick William",male,19,0,0,28665,76,,A
240,0,2,"Hunt, Mr. George Henry",male,33,0,0,66454,56,,B
241,0,3,"Zabour, Miss. Thamine",female,20,5,0,2665,78,,I
242,1,3,"Murphy, Miss. Katherine ""Kate""",female,21,1,2,367230,89,,B
243,0,2,"Coleridge, Mr. Reginald Charles",male,29,0,0,66454,75,,B
244,0,3,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0,45454,45,,I
245,0,3,"Attalah, Mr. Sleiman",male,30,0,2,2694,65,,I
246,0,1,"Minahan, Dr. William Edward",male,44,2,0,19928,66,C78,B
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,347071,78,,B
248,1,2,"Hamalainen, Mrs. William (Anna)",female,24,0,2,250649,66,,B
249,1,1,"Beckwith, Mr. Richard Leonard",male,37,1,1,11751,55,D35,I
250,0,2,"Carter, Rev. Ernest Courtenay",male,54,1,0,244252,44,,B
251,0,3,"Reed, Mr. James George",male,20,0,0,362316,66,,B
252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,347054,88,G6,I
253,0,1,"Stead, Mr. William Thomas",male,62,0,0,113514,88,C87,A
254,0,3,"Lobb, Mr. William Arthur",male,30,1,0,45479,66,,A
255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,370129,77,,A
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,2650,88,,B
257,1,1,"Thorne, Mrs. Gertrude Maybelle",female,20,0,0,444467,56,,B
258,1,1,"Cherry, Miss. Gladys",female,30,0,0,110152,45,B77,I
259,1,1,"Ward, Miss. Anna",female,35,0,0,44895,67,,I
260,1,2,"Parrish, Mrs. (Lutie Davis)",female,50,0,1,230433,88,,I
261,0,3,"Smith, Mr. Thomas",male,20,0,0,384461,67,,B
262,1,3,"Asplund, Master. Edvin Rojj Felix",male,23,4,2,347077,55,,B
263,0,1,"Taussig, Mr. Emil",male,52,1,1,110413,66,E67,I
264,0,1,"Harrison, Mr. William",male,40,0,0,112059,78,B94,I
265,0,3,"Henry, Miss. Delia",female,20,0,0,382649,56,,I
266,0,2,"Reeves, Mr. David",male,36,5,0,6644,45,,B
267,0,3,"Panula, Mr. Ernesti Arvid",male,16,4,1,3101295,78,,I
268,1,3,"Persson, Mr. Ernst Ulrik",male,25,1,0,347083,66,,A
269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1,8866,78,C125,A
270,1,1,"Bissette, Miss. Amelia",female,35,0,0,444,66,C99,A
271,0,1,"Cairns, Mr. Alexander",male,20,0,0,113798,88,,I
272,1,3,"Tornquist, Mr. William Henry",male,25,0,0,999,99,,I
273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,1,250644,88,,A
274,0,1,"Natsch, Mr. Charles H",male,37,0,1,457899,88,C118,B
275,1,3,"Healy, Miss. Hanora ""Nora""",female,20,0,0,370375,66,,B
276,1,1,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,13502,66,D7,I
277,0,3,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,347073,77,,B
278,0,2,"Parkes, Mr. Francis ""Frank""",male,20,0,0,239853,88,,A
279,0,3,"Rice, Master. Eric",male,27,4,1,382652,99,,A
280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1,4689,77,,B
281,0,3,"Duane, Mr. Frank",male,65,0,0,336439,77,,B
282,0,3,"Olsson, Mr. Nils Johan Goransson",male,28,0,0,347464,88,,I
283,0,3,"de Pelsmaeker, Mr. Alfons",male,16,0,0,345778,98,,I
284,1,3,"Dorking, Mr. Edward Arthur",male,19,3,0,10678,76,,A
285,0,1,"Smith, Mr. Richard William",male,20,0,0,113056,66,A19,A
286,0,3,"Stankovic, Mr. Ivan",male,33,0,0,349239,77,,B
287,1,3,"de Mulder, Mr. Theodore",male,30,3,0,345774,88,,B
288,0,3,"Naidenoff, Mr. Penko",male,22,0,2,349206,77,,B
289,1,2,"Hosono, Mr. Masabumi",male,42,0,0,237798,66,,A
290,1,3,"Connolly, Miss. Kate",female,22,0,2,370373,55,,B
291,1,1,"Barber, Miss. Ellen ""Nellie""",female,26,0,0,19877,66,,I
292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,11967,77,B49,A
293,0,2,"Levy, Mr. Rene Jacques",male,36,0,0,4456,77,D,A
294,0,3,"Haas, Miss. Aloisia",female,24,0,0,349236,98,,B
295,0,3,"Mineff, Mr. Ivan",male,24,0,0,349233,76,,I
296,0,1,"Lewy, Mr. Ervin G",male,20,5,0,444674,76,,A
297,0,3,"Hanna, Mr. Mansour",male,23,0,0,2693,56,,A
298,0,1,"Allison, Miss. Helen Loraine",female,22,3,2,113781,78,C22 C26,A
299,1,1,"Saalfeld, Mr. Adolphe",male,20,0,0,19988,98,C106,B
300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,3,1,17890,76,B58 B60,B
301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,18,0,0,9234,78,,I
302,1,3,"McCoy, Mr. Bernard",male,17,2,0,367226,77,,I
303,0,3,"Johnson, Mr. William Cahoone Jr",male,19,0,0,368,77,,I
304,1,2,"Keane, Miss. Nora A",female,16,0,0,226593,88,E101,B
305,0,3,"Williams, Mr. Howard Hugh ""Harry""",male,17,0,0,34578,99,,I
306,1,1,"Allison, Master. Hudson Trevor",male,20,1,2,113781,88,C22 C26,A
307,1,1,"Fleming, Miss. Margaret",female,21,0,0,17421,66,,B
308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0,17894,66,C65,I
309,0,2,"Abelson, Mr. Samuel",male,30,1,0,348790,77,,A
310,1,1,"Francatelli, Miss. Laura Mabel",female,30,0,0,453212,88,E36,B
311,1,1,"Hays, Miss. Margaret Bechstein",female,24,0,0,11767,55,C54,I
312,1,1,"Ryerson, Miss. Emily Borie",female,18,6,2,894567,66,B57 B59 B63 B66,A
313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,1,250651,88,,A
314,0,3,"Hendekovic, Mr. Ignjac",male,28,0,0,349243,99,,B
315,0,2,"Hart, Mr. Benjamin",male,43,5,1,234123,88,,I
316,1,3,"Nilsson, Miss. Helmina Josefina",female,26,0,0,347470,77,,A
317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,1,0,244367,66,,A
318,0,2,"Moraweck, Dr. Ernest",male,54,0,0,29011,55,,A
319,1,1,"Wick, Miss. Mary Natalie",female,31,0,2,36928,44,C7,B
320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1,16966,55,E34,B
321,0,3,"Dennis, Mr. Samuel",male,22,3,0,1232334,67,,I
322,0,3,"Danoff, Mr. Yoto",male,27,0,0,349219,89,,I
323,1,2,"Slayter, Miss. Hilda Mary",female,30,0,0,234818,99,,I
324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,1,1,248738,87,,B
325,0,3,"Sage, Mr. George John Jr",male,21,8,2,4533345,87,,I
326,1,1,"Young, Miss. Marie Grice",female,36,0,0,323234456,67,C32,A
327,0,3,"Nysveen, Mr. Johan Hansen",male,61,0,0,345364,56,,A
328,1,2,"Ball, Mrs. (Ada E Hall)",female,36,0,0,28551,78,D,A
329,1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,1,1,363291,66,,I
330,1,1,"Hippach, Miss. Jean Gertrude",female,21,0,1,111361,89,B18,I
331,1,3,"McCoy, Miss. Agnes",female,23,2,0,367226,87,,A
332,0,1,"Partner, Mr. Austen",male,45,0,0,113043,45,C124,A
333,0,1,"Graham, Mr. George Edward",male,38,0,1,567890,67,C91,B
334,0,3,"Vander Planke, Mr. Leo Edmondus",male,16,2,0,345764,89,,A
